# ecs,pa,pv,pc
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.925711143093970845e-01,4.907155138206175304e-04,1.573971343240389981e-02,8.444454838233799972e-04
6.924199496484568783e-01,6.246587015859592995e-04,1.270577434443729073e-02,8.384665035974578481e-04
5.927897051215398339e-01,6.443238281535867539e-04,9.679638359315649240e-03,7.948620308651538780e-04
5.183963968019357216e-01,6.728953175598409052e-04,7.398181229003693814e-03,7.639995403526002446e-04
4.552390952056984408e-01,6.765806362417920838e-04,5.696765545810500431e-03,7.235549021197779183e-04
4.041036054232805541e-01,6.726442786165992126e-04,4.417733116056052865e-03,6.845893553935959415e-04
3.613650246727126980e-01,6.593250843090878079e-04,3.451409212459474827e-03,6.454825351622336038e-04
3.256440946525924751e-01,6.406988712242442071e-04,2.717217061198754034e-03,6.080040360819399413e-04
2.953454440677054094e-01,6.180257204756939900e-04,2.156787065199016178e-03,5.721161531638358985e-04
2.694117326660345757e-01,5.929251442991367730e-04,1.726950707139692604e-03,5.380844200291799283e-04
2.469596876467655688e-01,5.663823505956121522e-04,1.395736889474462252e-03,5.058875265596418126e-04
2.273273868548175980e-01,5.392076374779550697e-04,1.139263950630398569e-03,4.755090412930777256e-04
2.099930563124777771e-01,5.119650394658511279e-04,9.396303002544378500e-04,4.468806282005155636e-04
1.945531605044245327e-01,4.850698869239819847e-04,7.833554060272276921e-04,4.199273075625253133e-04
1.806910491812447339e-01,4.588112560246530251e-04,6.602570011902055176e-04,3.945653990984004196e-04
1.681579979015985771e-01,4.333880527045733361e-04,5.626212243076230595e-04,3.707108701650220755e-04
1.567569438994914632e-01,4.089300689210618946e-04,4.845901103689949970e-04,3.482805573365136569e-04
1.463307124753505939e-01,3.855163292177909680e-04,4.217050612933309541e-04,3.271939769579303896e-04
1.367528248558855519e-01,3.631882012147272460e-04,3.705656068327854648e-04,3.073738558520532895e-04
1.279205702404925538e-01,3.419595985764525880e-04,3.285731167865581530e-04,2.887465105247879614e-04
1.197496939299172170e-01,3.218245786418907103e-04,2.937377796692454217e-04,2.712419390950940334e-04
1.121703499561798184e-01,3.027630946512282627e-04,2.645328157497250335e-04,2.547938205635855158e-04
1.051240011237839500e-01,2.847452990851187440e-04,2.397841330081594384e-04,2.393394360208722193e-04
9.856104354156736136e-02,2.677347654560858809e-04,2.185866513354112488e-04,2.248195543723051587e-04
9.243898047340200208e-02,2.516908851329765140e-04,2.002407516300785647e-04,2.111782954201888167e-04
8.672101491047663757e-02,2.365706421621693802e-04,1.842039442087445549e-04,1.983629823435562403e-04
8.137496106855519884e-02,2.223299173160424671e-04,1.700540687620799010e-04,1.863239894103782914e-04
7.637239936043553612e-02,2.089244371053676963e-04,1.574612450852540008e-04,1.750145891352080675e-04
7.168801745531737379e-02,1.963104551911986403e-04,1.461664731929660757e-04,1.643908013763199208e-04
6.729909384140295159e-02,1.844452326263316228e-04,1.359652916872200489e-04,1.544112460526423411e-04
6.318509072212745437e-02,1.732873672480108609e-04,1.266952877082981230e-04,1.450370005386843728e-04
5.932733098900280083e-02,1.627970103771447341e-04,1.182265421265212490e-04,1.362314624130091462e-04
5.570874001365295342e-02,1.529359997240232224e-04,1.104543133206164237e-04,1.279602179606161233e-04
5.231363756025998041e-02,1.436679303797682816e-04,1.032934293990867241e-04,1.201909166388163367e-04
4.912756858486202333e-02,1.349581804396022969e-04,9.667398510021095893e-05,1.128931515788517565e-04
4.613716432464309847e-02,1.267739037540520375e-04,9.053803564042657006e-05,1.060383460964952300e-04
